DATE,llp,unemployment,indpro,recession,term_spread,total_loans,llp_ratio,optimism_index
1986-01-01,4727.716,7.033333333333334,55.355799999999995,0.0,1.448,1436639.2692307692,0.0032908163526195393,100.51316666666666
1986-04-01,5545.933,7.166666666666667,55.02146666666667,0.0,1.27703125,1463927.4461538459,0.0037883933487077824,101.42
1986-07-01,5254.408,6.966666666666666,55.2378,0.0,1.62140625,1493163.7692307692,0.0035189763562954017,99.07923333333333
1986-10-01,7171.896,6.833333333333333,55.8578,0.0,1.7619354838709678,1528918.2857142857,0.00469083015554975,98.98786666666668
1987-01-01,5502.244,6.599999999999999,56.6085,0.0,1.4957377049180327,1577869.7666666666,0.0034871344367182985,100.63466666666666
1987-04-01,23784.267,6.266666666666667,57.611,0.0,2.5036507936507935,1608241.0230769233,0.01478899409896621,100.56779999999999
1987-07-01,6277.835,6.0,58.69483333333333,0.0,2.63078125,1630466.157142857,0.003850331374556677,102.88366666666667
1987-10-01,12126.415,5.833333333333333,60.087700000000005,0.0,3.0582258064516132,1665654.6076923078,0.007280269837454851,100.0836
1988-01-01,8434.029,5.7,60.649333333333324,0.0,2.5085483870967744,1695328.323076923,0.004974864682666733,100.33033333333333
1988-04-01,8857.419,5.466666666666666,61.1799,0.0,2.503174603174603,1738378.5307692308,0.005095218816399326,101.085
1988-07-01,6919.457,5.466666666666666,61.40656666666666,0.0,1.8553125,1777202.4153846153,0.0038934546454026274,100.84466666666667
1988-10-01,9810.7,5.333333333333333,61.838,0.0,0.9598360655737704,1807963.0692307693,0.005426382964876678,101.48366666666668
1989-01-01,4983.497,5.2,62.12539999999999,0.0,0.35590163934426233,1841257.446153846,0.0027065726253598568,101.51733333333334
1989-04-01,6419.691,5.233333333333333,61.890566666666665,0.0,0.054843750000000004,1881817.9307692307,0.0034114304551109377,98.22386666666667
1989-07-01,15392.742,5.233333333333333,61.50886666666667,0.0,-0.005873015873015873,1929222.6923076923,0.00797872742290189,100.3575
1989-10-01,16306.116,5.366666666666667,61.74793333333333,0.0,-0.0009677419354838718,1961959.4,0.008311138344656877,100.47953333333334
1990-01-01,7451.358,5.3,62.20616666666666,0.0,0.39741935483870966,1981311.6384615384,0.003760820789295862,99.5998
1990-04-01,8517.991,5.333333333333333,62.6333,0.0,0.6633333333333333,2006972.0307692308,0.004244200152971354,99.13703333333335
1990-07-01,11180.953,5.7,62.87606666666667,1.0,0.9758730158730158,2025588.923076923,0.0055198529536861,95.3352
1990-10-01,14837.966,6.133333333333333,61.90279999999999,1.0,1.1866129032258064,2044947.423076923,0.007255915644850226,91.71296666666666
1991-01-01,8640.541,6.6000000000000005,60.71796666666666,1.0,1.8114999999999999,2051839.8769230766,0.0042111185659171844,95.58183333333334
1991-04-01,10202.464,6.833333333333333,61.0384,0.0,2.38921875,2054563.2538461536,0.0049657580417156455,99.7153
1991-07-01,10814.987,6.866666666666667,61.89326666666667,0.0,2.4040624999999998,2039062.7384615387,0.005303901050224598,99.47503333333333
1991-10-01,12649.944,7.1000000000000005,62.01926666666666,0.0,2.6653225806451615,2039894.3076923075,0.006201274228913671,96.30923333333334
1992-01-01,8549.338,7.366666666666667,61.92676666666667,0.0,3.3048387096774197,2039674.946153846,0.004191519838061075,98.41263333333335
1992-04-01,7648.744,7.6000000000000005,63.04576666666666,0.0,3.607936507936508,2036703.4076923078,0.0037554530380377914,100.87233333333334
1992-07-01,8195.963,7.633333333333333,63.549733333333336,0.0,3.46765625,2027778.5285714285,0.00404184327061302,99.17053333333332
1992-10-01,7942.333,7.366666666666667,64.19746666666667,0.0,3.5966129032258065,2032873.2153846154,0.003906949503733477,99.68803333333334
1993-01-01,5679.879,7.133333333333333,64.7863,0.0,3.2329508196721313,2035482.7923076923,0.002790433317080779,98.80833333333334
1993-04-01,5672.462,7.066666666666666,64.91473333333333,0.0,2.952857142857143,2047503.3384615383,0.0027704286940319223,94.0233
1993-07-01,5012.561,6.8,65.16786666666667,0.0,2.545,2069971.453846154,0.0024215604474575264,93.448
1993-10-01,5067.324,6.633333333333333,66.18209999999999,0.0,2.483064516129032,2090106.0461538464,0.0024244339225393584,97.19200000000001
1994-01-01,3479.509,6.566666666666666,66.9881,0.0,2.755483870967742,2116043.269230769,0.001644346810197734,99.87373333333333
1994-04-01,3554.928,6.2,68.21563333333334,0.0,2.9777419354838712,2149584.1461538463,0.0016537747574853824,98.4674
1994-07-01,3052.09,6.0,69.09746666666666,0.0,2.71890625,2201678.5923076924,0.0013862559279376686,99.01833333333333
1994-10-01,3598.317,5.633333333333333,70.5131,0.0,2.3932786885245902,2260134.2,0.001592081125094253,101.63589999999999
1995-01-01,3207.686,5.466666666666666,71.25923333333333,0.0,1.5548387096774194,2328995.9153846153,0.0013772827933321112,101.0
1995-04-01,3437.836,5.666666666666667,71.5003,0.0,0.8282539682539682,2390654.2769230767,0.0014380314348190538,99.7762
1995-07-01,3755.228,5.666666666666667,72.20383333333334,0.0,0.7966666666666666,2455084.369230769,0.0015295718742148947,100.723
1995-10-01,4532.954,5.566666666666666,72.79833333333333,0.0,0.477741935483871,2489995.7307692305,0.0018204665750971554,101.423
1996-01-01,4153.365,5.533333333333334,73.29090000000001,0.0,0.8379032258064517,2533802.6307692314,0.0016391825273064339,100.17803333333332
1996-04-01,4831.806,5.5,74.8777,0.0,1.55875,2570226.6461538463,0.0018799143675638252,100.14139999999999
1996-07-01,4640.778,5.266666666666667,75.8706,0.0,1.53421875,2602288.976923077,0.0017833446020615337,100.14473333333335
1996-10-01,5457.92,5.333333333333333,76.97046666666667,0.0,1.2448387096774192,2669777.0999999996,0.0020443354615634394,99.9619
1997-01-01,4910.122,5.233333333333333,78.4405,0.0,1.3691666666666669,2725187.0,0.0018017559895889715,101.12166666666667
1997-04-01,5680.658,5.0,79.58906666666667,0.0,1.5071875000000001,2791834.5923076924,0.0020347401725201945,101.26766666666667
1997-07-01,5677.646,4.866666666666667,81.44913333333334,0.0,1.0557812500000001,2848633.823076923,0.0019931119099987895,103.432
1997-10-01,6219.853,4.666666666666667,83.49873333333333,0.0,0.6766129032258065,2884865.55,0.0021560287272313263,103.158
1998-01-01,5317.66,4.633333333333333,84.4227,0.0,0.4022950819672131,2938354.533333333,0.0018097407714676046,101.91333333333334
1998-04-01,5618.594,4.3999999999999995,84.9798,0.0,0.4776190476190476,2994480.976923077,0.0018763164779805285,101.724
1998-07-01,7086.811,4.533333333333333,85.64956666666667,0.0,0.24703125,3046373.4714285717,0.002326310633435466,100.96643333333333
1998-10-01,6243.789,4.433333333333334,86.87849999999999,0.0,0.2990322580645161,3126065.9615384615,0.001997331174972131,100.7229
1999-01-01,5829.165,4.3,87.9162,0.0,0.4752459016393442,3152871.030769231,0.0018488434646113047,100.69566666666667
1999-04-01,5365.591,4.266666666666667,88.77896666666668,0.0,0.9575,3187325.123076923,0.0016834150244516824,100.44583333333333
1999-07-01,5732.708,4.233333333333333,89.55186666666667,0.0,1.0878125,3232167.9923076928,0.0017736417208645704,101.27066666666667
1999-10-01,6543.891,4.066666666666666,91.04939999999999,0.0,0.937258064516129,3317521.161538461,0.0019725242677774953,102.397
2000-01-01,6268.24,4.033333333333333,91.83743333333332,0.0,0.7638095238095237,3422950.638461538,0.001831238794263563,102.03500000000001
2000-04-01,7756.542,3.9333333333333336,92.87833333333333,0.0,0.28888888888888886,3536090.9923076923,0.0021935357480543775,99.59363333333333
2000-07-01,7313.409,4.0,92.7787,0.0,-0.31222222222222223,3621176.292307692,0.002019622467852658,101.39299999999999
2000-10-01,10772.13,3.9,92.5344,0.0,-0.6295161290322581,3668016.4692307687,0.002936772528248505,98.44
2001-01-01,8620.229,4.233333333333333,91.44053333333333,0.0,0.11080645161290323,3721626.715384615,0.002316252988072484,97.74293333333333
